,dist_to_thr,flightid,time_t,east,north,altitude,gs,aircraft,runway,origin
0,2500.0,1492080.0,710.0,711456.0,361294.0,544.0,69.1765204746778,A320  ,26R,EDDH
1,3000.0,1492080.0,702.0,712005.5,361378.5,574.0,69.56628770830386,A320  ,26R,EDDH
2,3500.0,1492080.0,698.0,712280.0,361421.5,591.0,69.461885226617,A320  ,26R,EDDH
3,4000.0,1492080.0,690.0,712825.5,361507.0,628.5,68.82512502244245,A320  ,26R,EDDH
4,4500.0,1492080.0,682.0,713365.0,361591.0,666.5,68.06477787646142,A320  ,26R,EDDH
5,5000.0,1492080.0,674.0,713895.5,361672.5,704.0,66.77231234365891,A320  ,26R,EDDH
6,5500.0,1492080.0,666.0,714419.5,361752.5,739.5,66.11669426088778,A320  ,26R,EDDH
7,6000.0,1492080.0,658.0,714941.0,361832.0,773.5,65.88828412486812,A320  ,26R,EDDH
8,6500.0,1492080.0,650.0,715462.0,361912.5,805.5,66.03094261035505,A320  ,26R,EDDH
9,7000.0,1492080.0,642.0,715987.0,361995.0,834.0,66.5635806303585,A320  ,26R,EDDH
10,7500.0,1492080.0,638.0,716252.5,362037.5,848.0,67.22005181492892,A320  ,26R,EDDH
11,8000.0,1492080.0,630.0,716791.5,362125.0,874.5,68.63722693545267,A320  ,26R,EDDH
12,8500.0,1492080.0,622.0,717347.5,362214.5,901.5,71.0217426358355,A320  ,26R,EDDH
13,9000.0,1492080.0,614.0,717924.5,362306.0,929.0,73.77692206978861,A320  ,26R,EDDH
14,9500.0,1492080.0,610.0,718223.0,362352.5,944.0,75.52503806570394,A320  ,26R,EDDH
15,10000.0,1492080.0,602.0,718842.5,362447.0,976.5,79.26951687824965,A320  ,26R,EDDH
16,10500.0,1492080.0,598.0,719163.0,362494.5,994.0,81.0005847193037,A320  ,26R,EDDH
17,11000.0,1492080.0,590.0,719822.0,362591.5,1030.5,83.89915273600204,A320  ,26R,EDDH
18,11500.0,1492080.0,586.0,720158.0,362641.0,1049.5,84.90667349994871,A320  ,26R,EDDH
19,12000.0,1492080.0,578.0,720839.0,362741.5,1087.5,86.30348980640652,A320  ,26R,EDDH
20,12500.0,1492080.0,574.0,721181.5,362793.5,1106.5,86.60654013278292,A320  ,26R,EDDH
21,2500.0,1492174.0,602.0,711348.5,361287.5,577.5,68.55927022676133,A320  ,26R,EDDH
22,3000.0,1492174.0,594.0,711893.5,361369.0,608.0,68.99705365831173,A320  ,26R,EDDH
23,3500.0,1492174.0,586.0,712439.5,361447.5,639.0,68.94291116568839,A320  ,26R,EDDH
24,4000.0,1492174.0,578.0,712982.0,361525.5,670.5,68.32425223290706,A320  ,26R,EDDH
25,4500.0,1492174.0,570.0,713518.0,361605.0,701.5,67.49491737877406,A320  ,26R,EDDH
26,5000.0,1492174.0,566.0,713782.5,361646.0,717.0,66.9154006393595,A320  ,26R,EDDH
27,5500.0,1492174.0,558.0,714305.5,361730.0,747.5,66.08942805018062,A320  ,26R,EDDH
28,6000.0,1492174.0,550.0,714830.5,361817.0,777.0,66.78712031401369,A320  ,26R,EDDH
29,6500.0,1492174.0,542.0,715368.0,361905.5,805.5,68.657323923345,A320  ,26R,EDDH
30,7000.0,1492174.0,534.0,715929.0,361994.5,832.5,71.86631064269245,A320  ,26R,EDDH
31,7500.0,1492174.0,530.0,716221.0,362040.0,845.5,73.88092820642976,A320  ,26R,EDDH
32,8000.0,1492174.0,522.0,716832.0,362130.5,870.5,78.31240731990526,A320  ,26R,EDDH
33,8500.0,1492174.0,514.0,717475.5,362223.5,895.5,82.2190292058041,A320  ,26R,EDDH
34,9000.0,1492174.0,510.0,717807.5,362271.5,909.0,83.86310054105775,A320  ,26R,EDDH
35,9500.0,1492174.0,502.0,718488.5,362371.0,938.0,86.6749215990738,A320  ,26R,EDDH
36,10000.0,1492174.0,498.0,718835.5,362424.0,954.0,87.75622178268344,A320  ,26R,EDDH
37,10500.0,1492174.0,494.0,719186.0,362479.0,971.0,88.69745649144485,A320  ,26R,EDDH
38,11000.0,1492174.0,486.0,719895.5,362595.0,1010.5,90.21421638484722,A320  ,26R,EDDH
39,11500.0,1492174.0,482.0,720253.5,362655.5,1032.0,90.76906016212038,A320  ,26R,EDDH
40,12000.0,1492174.0,474.0,720974.0,362778.0,1075.5,91.55031253313673,A320  ,26R,EDDH
41,12500.0,1492174.0,470.0,721337.0,362839.0,1097.0,92.02286633789139,A320  ,26R,EDDH
42,2500.0,1492492.0,614.0,711541.0,361300.5,580.5,71.68564212918919,A320  ,26R,EDDH
43,3000.0,1492492.0,610.0,711821.5,361343.5,598.0,70.9442129699294,A320  ,26R,EDDH
44,3500.0,1492492.0,602.0,712376.5,361429.5,633.0,69.95592502284316,A320  ,26R,EDDH
45,4000.0,1492492.0,594.0,712926.0,361516.5,667.5,69.48141509912011,A320  ,26R,EDDH
